consumer_id,email_address_age_days,email_domain_label,email_domain_tld_label,email_username_length
1,51.66082541666667,458.0,17.0,7.0
2,255.1165694212963,386.0,17.0,8.0
3,,,,
4,1354.169959074074,386.0,17.0,9.0
5,312.91649178240743,386.0,17.0,20.0
7,283.1479517824074,1098.0,61.0,13.0
8,1766.5058441898148,386.0,17.0,9.0
9,0.0,386.0,17.0,14.0
10,1110.3471425462965,386.0,17.0,10.0
11,259.89935255787043,1100.0,17.0,11.0
13,196.98209096064812,386.0,17.0,10.0
14,,,,
15,745.0528286111112,612.0,17.0,9.0
16,156.91406072916666,386.0,17.0,12.0
17,325.93088289351846,386.0,17.0,8.0
19,588.7479373148149,1100.0,17.0,8.0
21,1386.1145396527777,1100.0,17.0,12.0
22,589.2949952546296,386.0,17.0,12.0
23,0.0067090393518518,386.0,17.0,10.0
24,1332.928063761574,1100.0,17.0,11.0
26,301.74142712962964,386.0,17.0,9.0
27,2.8916321990740737,386.0,17.0,13.0
28,805.8279411458333,458.0,17.0,8.0
29,1386.0790512268518,1119.0,17.0,8.0
30,5.9434791319444455,1100.0,17.0,11.0
31,1038.0787280671298,386.0,17.0,14.0
32,220.992076550926,64.0,17.0,6.0
33,155.98209078703704,386.0,17.0,16.0
34,354.30956017361115,1100.0,17.0,11.0
35,0.016810787037037,386.0,17.0,12.0
36,133.23086528935184,386.0,17.0,12.0
37,119.10467927083332,492.0,28.0,8.0
39,354.93154083333326,386.0,17.0,10.0
41,412.9347600810185,386.0,17.0,6.0
42,105.58460876157407,1100.0,17.0,6.0
43,145.01296739583333,386.0,17.0,11.0
49,28.07525822916667,458.0,17.0,8.0
50,659.1253920023148,386.0,17.0,16.0
51,,,,
52,742.2183190856482,1100.0,17.0,11.0
54,226.9752588773148,386.0,17.0,16.0
55,1251.4260760648149,971.0,17.0,5.0
56,992.0197848032408,204.0,46.0,9.0
57,56.83426122685185,386.0,17.0,11.0
59,239.89948625,386.0,17.0,11.0
60,149.3548558564815,386.0,17.0,14.0
62,119.05144234953706,386.0,17.0,9.0
63,403.5354722569445,358.0,28.0,11.0
64,1.8291176504629632,386.0,17.0,9.0
65,,,,
66,626.9567421412038,1100.0,17.0,13.0
68,436.3325681481482,1100.0,17.0,7.0
69,662.9681287268519,386.0,17.0,18.0
70,,,,
71,110.14339715277778,386.0,17.0,16.0
72,,,,
73,0.0014609375,543.0,28.0,16.0
74,877.00930625,1100.0,17.0,10.0
75,,,,
76,122.99408023148148,1100.0,17.0,13.0
78,1033.8087738541667,553.0,17.0,11.0
79,,,,
80,73.69621965277777,386.0,17.0,20.0
81,1162.0471408680555,458.0,17.0,7.0
82,328.18104635416665,386.0,17.0,13.0
83,,,,
85,185.9148849074074,64.0,17.0,12.0
86,312.2722801273148,386.0,17.0,13.0
87,717.8636719444444,386.0,17.0,13.0
88,189.64243208333332,386.0,17.0,9.0
89,16.862029791666668,386.0,17.0,9.0
90,1621.7268627546296,1100.0,17.0,13.0
91,610.6188607060185,64.0,17.0,10.0
93,269.0361175,386.0,17.0,9.0
95,19.640122314814818,386.0,17.0,6.0
96,154.91658143518518,1100.0,17.0,12.0
97,188.15225841435185,386.0,17.0,11.0
98,722.3180971759259,386.0,17.0,9.0
99,735.6059141898147,458.0,17.0,12.0
100,,,,
101,0.0056145023148148,354.0,17.0,9.0
102,755.3378288310187,1100.0,17.0,13.0
103,557.2211023842592,1100.0,17.0,9.0
104,155.6908006365741,204.0,46.0,10.0
105,9.262371932870373,730.0,17.0,14.0
106,262.36450379629633,386.0,17.0,16.0
108,104.0739768287037,472.0,17.0,15.0
109,,,,
111,304.5909461805556,386.0,17.0,12.0
112,491.1076280671296,386.0,17.0,10.0
113,861.0477504861111,386.0,17.0,10.0
114,945.545504837963,386.0,17.0,14.0
115,163.17272305555556,386.0,17.0,19.0
116,395.98612733796296,64.0,17.0,12.0
117,249.10453203703705,646.0,17.0,8.0
118,846.9817425115741,386.0,17.0,12.0
119,,,,
120,1683.6527227314816,1042.0,46.0,10.0
122,1080.2860672569443,386.0,17.0,8.0
123,146.75083037037038,386.0,17.0,12.0
124,651.1277784722222,386.0,17.0,9.0
125,93.84554479166668,472.0,17.0,10.0
126,141.5083642013889,386.0,17.0,10.0
127,898.1237088657408,386.0,17.0,18.0
128,,,,
129,451.7086764236112,386.0,17.0,9.0
131,1222.239692048611,386.0,17.0,9.0
132,404.6433890162037,386.0,17.0,11.0
133,412.77571355324073,386.0,17.0,15.0
134,,,,
135,25.134081944444446,2.0,17.0,15.0
136,1710.1295843055557,1100.0,17.0,8.0
137,275.7347653240741,386.0,17.0,18.0
139,517.9634862152777,458.0,17.0,14.0
140,248.9684726388889,386.0,17.0,10.0
141,283.7915503935185,198.0,28.0,15.0
143,111.2577294675926,386.0,17.0,17.0
144,191.6893576273148,386.0,17.0,9.0
146,,,,
147,148.78432417824075,386.0,17.0,11.0
149,10.888188194444444,458.0,17.0,13.0
150,165.63351190972222,730.0,17.0,9.0
152,50.97815439814815,386.0,17.0,11.0
153,235.2459098263889,64.0,17.0,7.0
154,448.0525930671296,344.0,17.0,8.0
155,0.0,386.0,17.0,12.0
158,,,,
160,0.0,386.0,17.0,19.0
161,0.9297141550925926,740.0,17.0,3.0
162,231.7353478819444,386.0,17.0,16.0
163,77.17608358796295,386.0,17.0,15.0
164,720.1125886921296,1100.0,17.0,7.0
166,748.0603085185185,386.0,17.0,16.0
167,456.7113263773148,386.0,17.0,18.0
169,87.38963932870371,472.0,17.0,11.0
170,1328.1695712847222,386.0,17.0,12.0
171,172.57786462962963,386.0,17.0,13.0
172,1468.828263993055,612.0,17.0,15.0
173,202.72551641203705,764.0,46.0,4.0
174,679.8743726273149,1125.0,28.0,10.0
175,221.92193278935184,1100.0,17.0,8.0
177,117.08690996527778,386.0,17.0,15.0
178,2.129120115740741,386.0,17.0,13.0
179,,,,
180,,,,
181,21.85417210648148,2.0,17.0,12.0
182,,,,
183,1848.3106430324076,721.0,46.0,6.0
184,761.6249786921296,1100.0,17.0,9.0
185,1512.8473227314817,570.0,17.0,12.0
186,617.3609684837962,386.0,17.0,18.0
187,2016.8926073263888,1100.0,17.0,10.0
188,47.27978153935185,386.0,17.0,10.0
189,113.661939375,386.0,17.0,15.0
191,905.8755995949074,386.0,17.0,15.0
194,178.34616799768517,386.0,17.0,8.0
195,1194.8246318171296,1100.0,17.0,9.0
197,473.0052157986111,1100.0,17.0,11.0
200,930.841665300926,1100.0,17.0,12.0
201,,,,
202,,,,
203,847.6245988310185,64.0,17.0,5.0
204,162.29180400462965,1100.0,17.0,11.0
205,29.854789363425933,1121.0,17.0,15.0
207,883.9015135648148,1100.0,17.0,11.0
208,,,,
210,227.4977714236111,386.0,17.0,16.0
211,1188.007951226852,386.0,17.0,7.0
212,966.8953858449074,1100.0,17.0,8.0
213,672.8567693402778,386.0,17.0,13.0
215,352.3701809027778,386.0,17.0,15.0
216,517.0869074884259,386.0,17.0,6.0
219,0.0267954629629629,64.0,17.0,9.0
220,685.0352536689815,64.0,17.0,11.0
222,180.1068099074074,1100.0,17.0,10.0
223,46.78050599537037,2.0,17.0,6.0
224,185.87802310185185,204.0,46.0,9.0
225,127.30699219907407,458.0,17.0,11.0
226,115.68004331018518,386.0,17.0,15.0
228,92.21653872685184,386.0,17.0,12.0
230,1382.1324979513888,386.0,17.0,7.0
231,764.855591412037,457.0,61.0,14.0
232,,,,
234,76.67352006944445,1100.0,17.0,8.0
235,932.085965949074,1100.0,17.0,9.0
237,,,,
239,,,,
241,343.2066294791667,386.0,17.0,9.0
243,1914.945915243056,1100.0,17.0,8.0
244,897.8779462615739,204.0,46.0,9.0
246,378.9956184375,386.0,17.0,15.0
248,,,,
249,1456.5466360185185,386.0,17.0,15.0
251,,,,
252,269.78390494212965,386.0,17.0,18.0
253,14.890575833333331,1100.0,17.0,12.0
