consumer_id,is_fraudulent,latest_changed_password,max_item_count,days_since_first_transaction
1,0,False,2.0,64.65392789602826
2,0,False,1.0,314.9896886833975
3,0,,,
4,0,False,1.0,963.831359066952
5,0,False,,
7,0,False,1.0,314.9896886833975
8,0,False,1.0,1609.4085678185825
9,0,,,
10,0,False,1.0,920.4645537187964
11,0,,1.0,195.54130070482287
13,0,False,1.0,312.2998024804272
14,0,,,
15,0,False,2.0,314.9896886833975
16,0,False,1.0,314.9896886833975
17,0,False,,
19,0,,7.0,180.93493061497057
21,0,False,4.0,464.48596513818825
22,0,,1.0,175.15278182200404
23,0,,2.0,387.0205108450292
24,0,False,1.0,314.9896886833975
26,0,False,1.0,241.98497458982655
27,1,False,12.0,761.1643200901303
28,0,False,1.0,799.7768583539457
29,0,False,2.0,314.9896886833975
30,1,False,5.0,59.05884900602405
31,0,False,2.0,405.6046238466081
32,0,False,2.0,14.768621966344938
33,0,False,1.0,339.84200457503323
34,1,False,,
35,0,False,1.0,556.8411112163914
36,0,,1.0,383.14899969326694
37,0,False,1.0,376.2006985445987
39,0,False,1.0,292.5001300651379
41,0,False,1.0,377.3464780514425
42,0,False,1.0,238.97628777192847
43,0,False,5.0,695.6986681748966
49,1,False,4.0,58.19918060972775
50,0,False,1.0,610.5930959755678
51,0,,,
52,0,False,1.0,606.2854566834907
54,0,False,1.0,314.9896886833975
55,0,False,1.0,1495.4768129212043
56,0,False,1.0,807.2288991369396
57,0,False,2.0,314.9896886833975
59,0,False,1.0,314.9896886833975
60,0,False,1.0,373.18531037926266
62,1,False,2.0,314.9896886833975
63,0,False,1.0,76.54844162733374
64,1,False,1.0,454.9232934763274
65,0,,,
66,0,False,1.0,314.9896886833975
68,0,False,2.0,814.1465939348539
69,0,False,1.0,217.82318341281473
70,0,,,
71,0,False,1.0,135.74321905020363
72,0,,,
73,0,False,,
74,0,False,1.0,314.9896886833975
75,0,,,
76,0,False,3.0,466.05275909692006
78,0,False,2.0,115.412586675055
79,0,,,
80,0,False,5.0,266.47033616778003
81,0,,1.0,1118.0865478008088
82,0,False,2.0,1732.5297314276986
83,0,,,
85,0,False,1.0,115.01018481620451
86,0,False,,
87,0,False,1.0,998.5831029982468
88,0,False,1.0,600.4825672452707
89,1,False,1.0,314.9896886833975
90,0,False,1.0,448.03627993501834
91,0,False,2.0,199.86672134664437
93,0,False,2.0,306.4216527669085
95,0,False,1.0,314.9896886833975
96,0,False,1.0,314.9896886833975
97,0,False,2.0,314.9896886833975
98,0,False,1.0,314.9896886833975
99,0,,1.0,876.9997767620221
100,0,,,
101,0,False,1.0,165.42541812026238
102,0,False,1.0,314.9896886833975
103,0,False,1.0,478.15566651631167
104,0,False,1.0,435.8280489334204
105,0,False,,
106,0,False,4.0,312.46760817570913
108,0,False,2.0,527.3137348931127
109,0,,,
111,0,,2.0,527.7021171044671
112,0,False,2.0,436.660075333135
113,0,False,1.0,405.4395897288789
114,0,False,1.0,563.7184224381813
115,0,,1.0,198.43155555092648
116,0,False,1.0,262.20469069267125
117,0,False,2.0,1152.7657610432116
118,0,False,1.0,391.78827591440745
119,0,,,
120,0,False,1.0,495.4471093273026
122,0,False,1.0,129.44601732115694
123,0,False,1.0,465.6804897144205
124,0,,1.0,
125,0,False,4.0,314.9896886833975
126,0,False,,
127,0,,2.0,314.9896886833975
128,0,,,
129,0,False,1.0,246.1428736694604
131,0,False,1.0,314.9896886833975
132,0,False,2.0,165.0650526256448
133,0,False,1.0,733.6529420761282
134,0,,,
135,1,False,2.0,314.9896886833975
136,0,False,2.0,89.17872313032899
137,0,False,1.0,616.7736295111482
139,0,False,4.0,314.9896886833975
140,0,False,2.0,314.9896886833975
141,0,False,2.0,595.9029536100817
143,0,False,1.0,263.9831271796152
144,0,,1.0,314.9896886833975
146,0,,,
147,0,,,
149,1,False,1.0,314.9896886833975
150,0,,,
152,0,False,2.0,61.90670347453843
153,0,False,1.0,221.15701320415027
154,0,False,1.0,575.0005942968244
155,0,,,
158,0,,,
160,0,,,
