consumer_id,num_unique_delivery_addresses,latest_delivery_address_name_length,latest_delivery_address_region_label,latest_delivery_address_fraction_vowels
1,1.0,16.0,33.0,0.2607372118578512
2,1.0,14.0,23.0,0.2343555148241962
3,,,,
4,1.0,23.0,11.0,0.4384669007469784
5,,12.0,35.0,0.395140896955944
7,1.0,15.0,15.0,0.3590315983195217
8,1.0,11.0,5.0,0.1573382040740996
9,,,,
10,1.0,11.0,5.0,0.3981753961655202
11,1.0,18.0,5.0,0.3269911320871245
13,1.0,14.0,5.0,0.293832641416134
14,,,,
15,1.0,14.0,5.0,0.3545676983180091
16,,12.0,22.0,0.4899497271159609
17,,8.0,21.0,0.5953746134427347
19,1.0,9.0,16.0,0.1568955276576141
21,1.0,13.0,33.0,0.3180477948970197
22,1.0,14.0,16.0,0.3650042250635003
23,1.0,17.0,46.0,0.2803625084730933
24,3.0,12.0,23.0,0.3311627692190435
26,2.0,8.0,5.0,0.5874715852376382
27,1.0,10.0,5.0,0.3172001635027168
28,2.0,10.0,44.0,0.179124575784351
29,1.0,12.0,43.0,0.0659491222354421
30,1.0,13.0,34.0,0.3889931719482115
31,1.0,10.0,15.0,0.3543939889515106
32,1.0,13.0,10.0,0.1656400884815907
33,1.0,16.0,15.0,0.2729468991904883
34,,15.0,24.0,0.285555801535985
35,1.0,14.0,43.0,0.3736088049727045
36,1.0,12.0,11.0,0.2968854104700741
37,2.0,15.0,16.0,0.4505994354313555
39,1.0,13.0,15.0,0.4553362789575833
41,1.0,12.0,31.0,0.5978466709865499
42,1.0,16.0,34.0,0.49633258453883
43,1.0,10.0,5.0,0.2221119801663184
49,5.0,8.0,10.0,0.3451803874815601
50,1.0,16.0,43.0,0.2488940823170451
51,,,,
52,2.0,11.0,27.0,0.3531626099295837
54,1.0,13.0,38.0,0.4039669288145347
55,3.0,14.0,42.0,0.4367102373548406
56,,15.0,43.0,0.3768675023497628
57,3.0,12.0,19.0,0.1930975449024122
59,1.0,14.0,21.0,0.4903717590833687
60,1.0,13.0,22.0,0.3286969292183644
62,1.0,14.0,44.0,0.2818500178634811
63,1.0,12.0,20.0,0.3602224259847338
64,5.0,7.0,5.0,0.4078409162448447
65,,,,
66,1.0,13.0,43.0,0.1965005512609563
68,1.0,10.0,15.0,0.4364868000922567
69,1.0,17.0,24.0,0.2134942726300441
70,,,,
71,2.0,16.0,10.0,0.3813972651398994
72,,,,
73,,1.0,38.0,0.0828615991491589
74,1.0,20.0,43.0,0.2813683360002482
75,,,,
76,1.0,13.0,5.0,0.4100721461312424
78,1.0,14.0,45.0,0.3772141134135743
79,,,,
80,,17.0,15.0,0.2770636951194256
81,1.0,14.0,5.0,0.416779945746523
82,1.0,14.0,5.0,0.1554191416323673
83,,,,
85,1.0,11.0,10.0,0.4815782848289723
86,,9.0,11.0,0.4873334741328968
87,1.0,14.0,5.0,0.4702522048047854
88,1.0,16.0,43.0,0.3369781020587607
89,1.0,10.0,14.0,0.2689567637677088
90,1.0,12.0,5.0,0.3232860008835881
91,1.0,17.0,8.0,0.7082073210471419
93,,16.0,6.0,0.3361978151386098
95,2.0,13.0,34.0,0.444038179284168
96,2.0,12.0,11.0,0.4848159343787793
97,,12.0,5.0,0.4379167518172158
98,,13.0,3.0,0.3728878023310772
99,1.0,17.0,5.0,0.3700309858708774
100,,,,
101,1.0,8.0,43.0,0.3693531711103315
102,,12.0,5.0,0.2623321440280586
103,1.0,13.0,43.0,0.3668028634753317
104,1.0,10.0,44.0,0.4497472135193782
105,,10.0,43.0,0.3698356312948682
106,,16.0,5.0,0.2496947771583561
108,1.0,19.0,8.0,0.3160253821963854
109,,,,
111,,15.0,5.0,0.3018144550084553
112,1.0,14.0,43.0,0.3563468651668235
113,,13.0,5.0,0.4667479288063859
114,1.0,13.0,38.0,0.3731004182280094
115,1.0,16.0,43.0,0.2452606173552314
116,,13.0,6.0,0.2461880441171832
117,1.0,16.0,6.0,0.2462235708214099
118,1.0,11.0,5.0,0.3064751930652186
119,,,,
120,1.0,20.0,30.0,0.366959407272777
122,2.0,11.0,5.0,0.3515171004726817
123,2.0,13.0,33.0,0.1325802101733619
124,,11.0,10.0,0.4555642731179293
125,1.0,14.0,19.0,0.5905655532636693
126,,16.0,15.0,0.453791166130451
127,1.0,14.0,34.0,0.3559147423454768
128,,,,
129,2.0,11.0,5.0,0.2212161216268151
131,1.0,13.0,34.0,0.2431256470274687
132,1.0,11.0,38.0,0.4088187762894424
133,1.0,16.0,43.0,0.3299989613545992
134,,,,
135,1.0,7.0,45.0,0.6009967346944627
136,1.0,13.0,8.0,0.4676518927072696
137,1.0,16.0,5.0,0.4225304994106592
139,2.0,9.0,5.0,0.2981512510786916
140,1.0,14.0,33.0,0.4277467897599846
141,1.0,15.0,6.0,0.0874349411125961
143,1.0,14.0,44.0,0.2740238961206274
144,1.0,13.0,15.0,0.322665930420679
146,,,,
147,,,,
149,1.0,13.0,44.0,0.5711861128931559
150,,,,
152,1.0,7.0,5.0,0.3857520203669825
153,1.0,11.0,33.0,0.2748239083879285
154,1.0,12.0,16.0,0.2795413218236944
155,,,,
158,,,,
160,,,,
161,1.0,10.0,36.0,0.1723077912533515
162,1.0,15.0,5.0,0.4853651120867984
163,1.0,12.0,5.0,0.4173850025498499
164,1.0,14.0,46.0,0.3491793711030534
166,1.0,16.0,21.0,0.4081418398702293
167,1.0,16.0,34.0,0.2261509349962086
169,1.0,19.0,34.0,0.604573504420521
170,1.0,11.0,45.0,0.3887251170336772
171,1.0,16.0,42.0,0.2657540003579631
172,2.0,15.0,5.0,0.3588737861242101
173,1.0,18.0,33.0,0.3066197068241396
174,1.0,16.0,46.0,0.4260085675060106
175,1.0,17.0,5.0,0.4290382813982079
177,,15.0,5.0,0.1581839505155313
178,2.0,12.0,33.0,0.0828615991491589
179,,,,
180,,,,
181,1.0,7.0,45.0,0.4568135584941454
182,,,,
183,2.0,13.0,20.0,0.19373749382403
184,2.0,13.0,33.0,0.3354787165509521
185,1.0,12.0,5.0,0.3790239378822119
186,1.0,14.0,34.0,0.4009418112160164
187,2.0,16.0,38.0,0.2165825479153901
188,,,,
189,2.0,16.0,33.0,0.3667762013449147
191,,17.0,43.0,0.3817679994996113
194,1.0,13.0,11.0,0.2869710536960342
195,1.0,9.0,30.0,0.561568470766779
197,3.0,15.0,27.0,0.5751535434317296
200,1.0,13.0,21.0,0.3038992196777331
201,,,,
202,,,,
203,1.0,14.0,32.0,0.4237159079087077
204,1.0,13.0,43.0,0.5011456829102058
205,2.0,15.0,36.0,0.2234586480348502
207,2.0,16.0,33.0,0.5281236998814284
208,,,,
210,,,,
211,1.0,13.0,35.0,0.5098304622578858
212,1.0,11.0,33.0,0.3986808368315091
213,1.0,12.0,22.0,0.0789469950006634
215,,14.0,33.0,0.2433235644273235
216,2.0,10.0,5.0,0.2779884910927058
219,1.0,15.0,43.0,0.1496628888030741
220,1.0,12.0,33.0,0.3701075580197605
222,,14.0,6.0,0.508756176796192
223,1.0,5.0,5.0,0.0828615991491589
224,1.0,15.0,42.0,0.4511142661679395
225,1.0,10.0,3.0,0.3613576052606799
226,1.0,13.0,5.0,0.3277430455890899
228,1.0,11.0,34.0,0.3615247046230747
230,1.0,14.0,30.0,0.2823320805542152
231,2.0,16.0,10.0,0.4365890077329702
232,,,,
234,1.0,14.0,46.0,0.4274946071697575
235,1.0,12.0,5.0,0.4630149768735004
237,,,,
239,,,,
241,1.0,13.0,43.0,0.3141799194159237
243,1.0,14.0,6.0,0.3398216864078739
244,1.0,13.0,6.0,0.2467250784107659
246,1.0,13.0,5.0,0.3235668965599292
248,,,,
249,1.0,18.0,34.0,0.4578683789909962
251,,,,
252,1.0,15.0,43.0,0.2587844731258511
253,1.0,9.0,10.0,0.5665745711820279
254,1.0,14.0,43.0,0.4810852293389576
255,1.0,13.0,43.0,0.4844435642463447
256,,10.0,3.0,0.3404123584710977
258,1.0,13.0,34.0,0.1456077051764494
260,1.0,5.0,33.0,0.3847215156726107
261,1.0,13.0,3.0,0.3127667693575097
262,,,,
264,,11.0,22.0,0.4385950696206572
265,1.0,14.0,37.0,0.5262924107739029
266,2.0,16.0,34.0,0.3732179588208355
267,,,,
268,2.0,13.0,33.0,0.1403526647633571
269,1.0,14.0,5.0,0.3467330260399165
270,1.0,15.0,5.0,0.4864642484807319
271,2.0,12.0,15.0,0.4452523906401156
272,1.0,12.0,4.0,0.2925528961243742
273,,14.0,36.0,0.2331846889621722
274,4.0,14.0,33.0,0.3758924789400291
276,,16.0,5.0,0.2858647274168362
277,,12.0,33.0,0.1805851119827051
278,1.0,19.0,43.0,0.3440813069604783
279,,,,
280,1.0,13.0,5.0,0.2065836324210204
282,1.0,13.0,33.0,0.3183684130776392
284,1.0,13.0,5.0,0.4058981597949761
285,1.0,12.0,43.0,0.1261067551139697
286,,12.0,43.0,0.2449410610750566
287,1.0,15.0,9.0,0.5064891170652294
