consumer_id,per_month_logout,per_month_page_activity,per_month_transactions
1,,,1.486623936976737
2,,,4.483389023143445
3,,,
4,,1.0,2.056616863832563
5,,,
7,,,4.483389023143445
8,,1.0,4.483389023143445
9,,,
10,,,0.1112247867238087
11,,,7.369085482028286
13,,,3.655019601116643
14,,,
15,,1.0,9.155456661405967
16,,,
17,,,
19,,,6.073075430348954
21,,5.0,5.278426653453621
22,,,4.660105391519998
23,,,6.937672469030503
24,,,3.019849419095575
26,,,0.0386265304431168
27,1.0,1.0,4.385494232315124
28,,,4.350395100938654
29,,,3.490615396236928
30,,,1.5792985103734296
31,,,2.0612267659432906
32,,,4.483389023143445
33,,2.0,0.8264851130287538
34,,,
35,,,8.626019315027122
36,,,5.3615904655607665
37,,,17.48585650535523
39,,,5.658806134725065
41,,,3.0986324490743424
42,,,6.873967961786439
43,,1.0,4.483389023143445
49,,,8.524136171660544
50,,,7.944539097246689
51,,,
52,,,5.729133084268014
54,,5.0,8.26977200527151
55,,5.0,12.31963357832181
56,,,
57,,,26.027015648919743
59,,,5.915650720692549
60,,,2.9501191083422396
62,,1.0,1.015885697453009
63,,,4.483389023143445
64,,,1.1937828663628318
65,,,
66,,,2.1445830723220243
68,,,12.038959926195613
69,,,0.7916924438725843
70,,,
71,,4.0,3.5205095590409323
72,,,
73,,,
74,,,4.483389023143445
75,,,
76,,,0.855614429316089
78,,2.0,4.483389023143445
79,,,
80,,,
81,,,11.191104318175896
82,,,14.670850553500738
83,,,
85,,,4.483389023143445
86,,,
87,,,4.483389023143445
88,,,8.798332682517323
89,,3.0,4.483389023143445
90,,,7.348701941668703
91,,1.0,10.636474277645643
93,,,
95,,,0.6035883709907033
96,,,1.3788953080481576
97,,,
98,,,
99,,,20.48050106552127
100,,,
101,,3.0,4.483389023143445
102,,,
103,,,5.623362967702116
104,,,11.869323584566612
105,1.0,1.0,
106,,,
108,,,6.170943217224429
109,,,
111,,,
112,,1.0,2.308340066900973
113,,,
114,,,7.364091321914454
115,,,4.483389023143445
116,,,
117,,,4.483389023143445
118,,,3.579423977164021
119,,,
120,,,3.8402148586467946
122,,,4.483389023143445
123,,,0.8142981100692102
124,,1.0,
125,,,1.6869643535423549
126,1.0,2.0,
127,,,4.483389023143445
128,,,
129,,5.0,4.483389023143445
131,,1.0,4.483389023143445
132,,,2.451728334147827
133,,,0.7970859044951977
134,,,
135,,,4.706722266298421
136,,,8.196341040836074
137,,,1.0673132001457786
139,,,8.19495963784404
140,,,4.483389023143445
141,,,6.121676459462808
143,,,7.830662332831839
144,,,5.7417309874028835
146,,,
147,,,
149,,1.0,5.526774041386437
150,,,
152,1.0,4.0,10.167687948980513
153,,1.0,2.874138783962123
154,,,0.2810980245336765
155,,,
158,,,
160,,,
161,,,7.704335374723851
162,,,7.145263114185881
163,,,3.4663033299055694
164,,,0.8069635263123496
166,,,4.483389023143445
167,,,8.57319847057046
169,,,6.773068762933005
170,,,4.483389023143445
171,,,4.483389023143445
172,,1.0,4.483389023143445
173,,,7.0873643471125884
174,,,4.483389023143445
175,,,3.910513920261809
177,,,
178,2.0,3.0,0.0378458446361511
179,,,
180,,,
181,,,1.084294187332929
182,,,
183,,5.0,2.9113675319254657
184,,5.0,3.2242854446992713
185,,,4.612401300426901
186,,,4.483389023143445
187,,,7.422935546482499
188,,,
189,,,4.483389023143445
191,,,
194,,,5.194290317515995
195,,,4.483389023143445
197,,5.0,9.046507129511218
200,,,8.102777055286376
201,,,
202,,,
203,1.0,5.0,4.381685191987916
204,1.0,3.0,1.760168908612067
205,4.0,5.0,4.483389023143445
207,,,4.603025768912152
208,,,
210,,,
211,,,4.622836354957342
212,,1.0,4.483389023143445
213,,,0.4318474601408479
215,,,
216,,,9.592254391877628
219,,,4.1832246853598765
220,,,8.754342179202178
222,,,
223,,,0.0550793546246493
224,,1.0,1.7840368992450335
225,,,10.4198089949878
226,,,17.556001173005583
228,,,0.2739841125271044
230,,,6.086959100427885
231,,,1.0218116054694768
232,,,
234,,,4.483389023143445
235,,,7.573682562378676
237,,,
239,,,
241,,,4.483389023143445
243,,1.0,0.6644168033701789
244,,,4.483389023143445
246,,,2.0069668584752214
248,,,
249,,,20.850341414861056
251,,,
252,,,4.483389023143445
253,,,8.613147848323411
254,,,8.581978853191423
255,,,6.1363378167066545
256,,,
258,,,11.0098438383998
260,,,4.483389023143445
261,,,5.156638369290613
262,,,
264,,,
265,,,10.515678817959486
266,16.0,5.0,11.26100339400745
267,,,
268,,,5.3522091394093785
269,,,1.7527194664379648
270,,,4.665350704738774
271,,,7.05722292094456
272,,,8.5429875202691
273,,1.0,
274,,5.0,21.667510352712664
276,,,
277,1.0,1.0,
278,,1.0,5.258033676210392
279,,,
280,,,4.675912490860272
282,,2.0,2.842929340945469
284,,,4.483389023143445
285,,,5.696042324071968
286,,,
287,,,7.5419679131764354
288,,,6.247407214543644
289,,,10.506368146901798
290,,,8.518670218817125
291,,,
292,,,9.135635397451082
293,,,2.605664678820904
294,,,4.483389023143445
295,,,
296,,1.0,2.9414304852241697
298,,,
300,,,10.064825659879194
301,,1.0,4.483389023143445
302,,5.0,
303,,,2.505803211175675
304,,,12.505600901454873
305,,,2.1169459225436604
306,2.0,3.0,7.708860914180062
308,,,4.483389023143445
309,,,10.865839258954782
313,,,7.78804423704619
314,,,2.5305756372926327
315,3.0,3.0,9.67973869339292
316,,,3.1415926352958405
317,,,2.963322180132445
318,,,0.6611483832851892
319,,1.0,4.483389023143445
320,,,9.331753684283182
321,,,0.618668887058471
322,,1.0,4.483389023143445
323,,,1.2183116040495197
326,,,1.694697145469356
327,,,
328,,,
329,,,3.6655688635159502
331,,,3.6232318457187818
333,,1.0,4.483389023143445
334,,,
335,,,2.235968675779363
336,,,
339,,1.0,4.60633000710631
340,,,
341,,,3.5746951013071655
342,,,4.483389023143445
343,,,0.9505424339779912
344,,,6.601589017686306
345,,,4.483389023143445
346,,,0.0909554397165131
347,,2.0,4.483389023143445
348,,4.0,1.7644017667793683
349,,,4.483389023143445
350,,,
352,,,
353,,,5.471409953008019
354,,,4.733091411551786
355,,,5.645355382877307
356,,,4.7899002355880835
358,,,1.4521422832007378
359,,,2.3301060583843216
360,,,
361,,,
362,,,6.818476254546675
363,,1.0,
366,,,
367,,,2.5777949208704847
368,,,0.944780094913518
369,1.0,1.0,4.483389023143445
370,,,4.483389023143445
371,,,0.7570130475756933
372,,,2.7089626535039075
374,,,4.483389023143445
376,,,2.0835930170717587
377,,,
378,,,
379,,,
380,,,1.763477991716097
382,,,0.4153755551517779
383,,,4.483389023143445
384,,,3.984364951603898
385,,,
386,,,5.036925143304491
387,,,
388,,1.0,3.1575643070650967
389,,,4.483389023143445
390,,,
391,,,6.839982880120413
392,,,4.834739417074088
393,1.0,4.0,
396,,4.0,4.483389023143445
397,,,
398,,,4.483389023143445
399,,1.0,4.483389023143445
400,,,
401,,,
402,,,4.483389023143445
404,,,8.000801903699706
405,,,12.101674885587062
406,,,20.552928699225145
407,,1.0,
408,,1.0,0.8462663725022725
411,,,2.738227463954741
413,,,11.692930550435644
414,,,
415,,,
417,,,
418,,,5.971014625670023
419,,,13.222655062076342
420,,,4.483389023143445
421,,,4.483389023143445
423,,,18.484866182060976
424,,,6.217916357937051
426,,,7.826386145342435
427,,,5.562694904564503
428,,,4.483389023143445
429,,,4.483389023143445
431,,,9.902955432881765
432,,,11.068889986390143
433,,1.0,7.482159768224436
434,,,
435,,,11.29729359137546
436,,,11.24979193765668
440,,,
441,,,4.483389023143445
442,2.0,,8.986492039752072
443,,,
444,1.0,,6.788570000450693
445,,1.0,1.8561772461710295
446,,,
447,,1.0,4.483389023143445
449,,3.0,4.483389023143445
453,,,
454,,,11.931320213043795
455,,,27.50318551035521
456,,,9.470801309611009
457,,,2.569556155344414
459,,,4.483389023143445
461,,,2.3588493713867633
462,,,
464,,1.0,1.444224597664892
465,,,
466,,1.0,0.3765098375387198
468,,,38.73269594694934
469,,,7.029340348143407
470,,,0.6751809606367658
474,,,4.483389023143445
475,,,
476,,,0.5647594713059063
477,,,
478,,,0.0600338947592996
479,,,5.588833924901317
481,,2.0,
482,,,4.483389023143445
483,,1.0,4.483389023143445
484,,,
485,,,
486,,,
488,,,
491,1.0,,11.820124042793054
492,,,7.0297731207464365
493,,5.0,15.325020975293851
494,,,
495,,,8.501026912609658
497,,,4.483389023143445
500,,,9.3810552519851
501,,,
502,,,0.369544826294681
503,,,
504,,,4.483389023143445
505,,,1.615537800155484
508,,,
510,,,7.458760208576224
511,,,6.875286712449917
513,,,2.356010563027989
514,1.0,,11.533592996309766
516,,,
520,,,4.662627245354318
521,,1.0,3.808167937608488
522,,,13.318415718597691
523,,,7.574661570255823
524,,,
525,,,4.483389023143445
526,,,8.546035561507345
529,,1.0,4.483389023143445
530,1.0,3.0,7.108933636131218
531,,,
532,,,6.280525053646996
533,,2.0,7.663885454835463
534,,,
535,,,0.6049637030310859
537,1.0,1.0,
538,,,0.7837710555176494
539,,2.0,4.483389023143445
540,,2.0,8.700525578269849
541,,,
542,,,
544,,,5.326552166936164
545,,,
546,,,4.483389023143445
547,,,2.7695309501699312
548,,,
550,,,7.360197478141187
551,,,4.483389023143445
554,,,0.8911888264498491
556,,,4.550838082482497
557,,,7.482844219860654
558,,1.0,1.556905981834297
559,,,4.402946264362052
560,,,
563,,,
564,,,
565,,,
566,,,4.483389023143445
567,,5.0,2.307597850923635
570,,2.0,
571,,,
572,,,2.616512059915462
573,,,4.704477752660436
574,,,
575,,1.0,9.609593055332128
577,,,
578,,,
579,,,
580,,,
581,,,1.332247908483387
582,,,4.483389023143445
583,,,10.556834959801606
584,,1.0,
585,,,
586,,,2.456169886147054
588,,1.0,9.937475301790284
589,,,
590,,2.0,4.483389023143445
592,,,13.227989980940045
593,,,2.2473917999655493
594,,,7.484478576861636
595,,,
597,,2.0,
598,,,
599,,,
600,,,
601,,,
602,,,
604,,,11.40746717662601
605,,,
606,,,4.483389023143445
607,,,25.336440137600775
608,,,
609,,,
610,,,4.23009128846921
611,,,4.483389023143445
616,,5.0,8.040997792992048
617,,,
619,,,
620,,,4.483389023143445
621,,,10.501021200680007
622,,,
623,,,9.310999413022046
624,,,
626,,1.0,4.483389023143445
628,,,4.483389023143445
629,,,
631,,,3.849491994598584
632,,,
633,,1.0,16.695041301040362
635,,,0.6792458842097775
636,,,3.951937723089783
638,,,
640,,,0.8103561659159269
642,,,0.0757634251457294
643,,,
644,,,4.483389023143445
645,,1.0,4.483389023143445
647,,,5.262044630517325
648,,,
650,,,4.084399734413672
651,,,4.483389023143445
652,,,
653,,,7.702385567756627
654,,,
655,,,
656,,,
657,,1.0,4.1080304481785
658,,,4.451931145876349
659,,,4.483389023143445
660,,,
661,,1.0,4.483389023143445
662,,,5.588501639041938
664,,,4.483389023143445
665,,,4.483389023143445
667,,,
669,,,7.692363399242394
671,,,1.3763600442568071
672,,,
673,,,5.872348457455841
674,,,1.4299643763930452
676,,5.0,12.782997417097086
677,,,
678,,,20.039333805113095
679,,,
681,,,25.714622729856096
683,,,
684,,,2.567312126840256
685,,,1.355514401248239
686,,2.0,1.6813390574247555
687,,,
688,,,4.483389023143445
689,,,
690,,,4.014552802645773
691,1.0,1.0,4.884028256742429
692,,1.0,10.83845012672046
695,,,4.483389023143445
696,,,
697,,,
698,1.0,,
699,,,2.436640830473056
701,,,
702,,,
703,,,4.483389023143445
704,,,4.483389023143445
705,,,4.483389023143445
707,,2.0,
708,,,1.8914031508649656
709,,,
710,,,
711,,,4.483389023143445
712,,,4.483389023143445
713,,,4.422608098372983
714,,1.0,6.305526872997568
716,,,
717,,,6.819665512317975
718,,,
719,,,4.287938518344241
720,,5.0,0.2854663425135557
722,,,0.8377193403947572
723,,,9.337934150006586
724,,,
725,,,8.144133939967876
726,,,1.5142500509855896
728,,,
729,,,
730,,,2.830363388930052
731,,,1.570289655385324
732,,,3.0580797762487686
733,,,5.402907637025033
736,,,
737,,2.0,5.058426282914724
738,,,9.73583826197554
739,,4.0,
740,,,
742,,,4.483389023143445
743,,1.0,4.483389023143445
744,,5.0,10.703380300946812
745,,,8.998343961761936
746,,,
747,,,1.4668882725126453
748,1.0,3.0,2.576086620149625
749,,,3.947044251319678
750,,5.0,14.357479380642634
752,,,4.483389023143445
